id,price
100000,2092155.5684172218
100001,2462112.710443076
100002,5757577.705190331
100003,1345907.0680605643
100004,6968221.652950107
100005,4706080.362819325
100006,4358592.62996444
100007,5482274.874043489
100008,2552482.921021428
100009,4127437.5698787803
100010,2127315.5893418128
100011,11377680.612317912
100012,2222813.170823674
100013,6977820.445988851
100014,2880924.7210055524
100015,1725398.7799037243
100016,2789577.6476014634
100017,1685081.4728544136
100018,2241322.602289051
100019,4984221.914172409
100020,1556135.044949029
100021,7368174.182574958
100022,4960529.044854636
100023,3016760.527516092
100024,2912808.430360806
100025,2870851.7007444855
100026,3374287.141780934
100027,4575842.178745294
100028,3841791.393590887
100029,2280548.5456379945
100030,2516684.1207116856
100031,3423388.091094673
100032,7585082.051860457
100033,3022086.738461379
100034,4643688.48818111
100035,5417277.601396404
100036,3261294.199078892
100037,8258962.739368965
100038,4207625.772319305
100039,10332460.306196395
100040,3220673.3281732947
100041,2616398.8342173835
100042,4681086.972023359
100043,1480149.7437675716
100044,2846824.288809784
100045,4255793.049180962
100046,985264.3000214775
100047,1974741.998808506
100048,7140078.410810094
100049,3134785.128053841
100050,1123339.6850413051
100051,6950265.621982181
100052,3661082.779078544
100053,4070866.354506863
100054,1902473.1556590903
100055,8439381.011304375
100056,10664857.660746457
100057,1657744.4948606938
100058,13770081.216308016
100059,7152706.420561051
100060,6739923.574245951
100061,1400865.4543307512
100062,3789266.7868165914
100063,3699077.7570325537
100064,3203950.319252421
100065,3429401.2873139633
100066,6286559.126616959
100067,2371760.391936265
100068,3012869.9231751496
100069,21450561.10035299
100070,1431480.8600259074
100071,2020873.0428092019
100072,3684833.059948825
100073,6406692.165331902
100074,1637946.4307168792
100075,1730331.1013872465
100076,5859489.746584003
100077,14595151.524877429
100078,7248366.846725069
100079,3258935.6692696624
100080,7624260.245549133
100081,9891147.821079563
100082,833335.4980407357
100083,7571165.9473720025
100084,3077768.652517747
100085,15136012.833621759
100086,5905798.298994506
100087,7984137.272776227
100088,2694189.220785822
100089,2542041.831515178
100090,2127809.5351902964
100091,7582364.504570724
100092,5220866.682676161
100093,2378017.290503772
100094,1615536.883606729
100095,5039787.779079364
100096,2434396.050989284
100097,6636924.131061555
100098,3649164.9586684774
100099,3750746.2885690737
100100,4738311.49821354
100101,4506854.814748959
100102,7213487.843425913
100103,1767308.5320561077
100104,2399785.8883969476
100105,3445357.49440321
100106,15927309.652150068
100107,3557689.4370382004
100108,4310618.612066646
100109,4620551.36864561
100110,25903658.973593503
100111,2564345.752850064
100112,5364269.271137013
100113,2604126.963844624
